time	V(VCj1a,VCj2b)	V(VCj2a,VCj2b)
5.763107199787321e-010	3.508667e-001	-9.965688e-001
5.773107199787321e-010	3.504789e-001	-9.744719e-001
5.783107199787321e-010	3.500788e-001	-9.524297e-001
5.793107199787321e-010	3.496656e-001	-9.304484e-001
5.803107199787321e-010	3.492391e-001	-9.085341e-001
5.813107199787321e-010	3.487986e-001	-8.866918e-001
5.823107199787321e-010	3.483438e-001	-8.649261e-001
5.833107199787321e-010	3.478744e-001	-8.432412e-001
5.843107199787321e-010	3.473893e-001	-8.216406e-001
5.853107199787321e-010	3.468883e-001	-8.001273e-001
5.863107199787321e-010	3.463706e-001	-7.787035e-001
5.873107199787321e-010	3.458353e-001	-7.573713e-001
5.883107199787321e-010	3.452820e-001	-7.361319e-001
5.893107199787321e-010	3.447096e-001	-7.149863e-001
5.903107199787321e-010	3.441175e-001	-6.939347e-001
5.913107199787321e-010	3.435047e-001	-6.729770e-001
5.923107199787321e-010	3.428701e-001	-6.521126e-001
5.933107199787320e-010	3.422127e-001	-6.313405e-001
5.943107199787320e-010	3.415314e-001	-6.106592e-001
5.953107199787320e-010	3.408247e-001	-5.900669e-001
5.963107199787320e-010	3.400916e-001	-5.695610e-001
5.973107199787320e-010	3.393301e-001	-5.491392e-001
5.983107199787320e-010	3.385391e-001	-5.287982e-001
5.993107199787320e-010	3.377167e-001	-5.085347e-001
6.003107199787320e-010	3.368608e-001	-4.883449e-001
6.013107199787320e-010	3.359695e-001	-4.682248e-001
6.023107199787320e-010	3.350404e-001	-4.481702e-001
6.033107199787320e-010	3.340711e-001	-4.281765e-001
6.043107199787320e-010	3.330587e-001	-4.082389e-001
6.053107199787320e-010	3.320001e-001	-3.883522e-001
6.063107199787320e-010	3.308920e-001	-3.685115e-001
6.073107199787320e-010	3.297307e-001	-3.487110e-001
6.083107199787320e-010	3.285119e-001	-3.289454e-001
6.093107199787320e-010	3.272309e-001	-3.092090e-001
6.103107199787320e-010	3.258826e-001	-2.894959e-001
6.113107199787320e-010	3.244609e-001	-2.698001e-001
6.123107199787320e-010	3.229594e-001	-2.501158e-001
6.133107199787320e-010	3.213706e-001	-2.304368e-001
6.143107199787320e-010	3.196859e-001	-2.107572e-001
6.153107199787320e-010	3.178958e-001	-1.910709e-001
6.163107199787320e-010	3.159892e-001	-1.713719e-001
6.173107199787320e-010	3.139537e-001	-1.516542e-001
6.183107199787320e-010	3.117748e-001	-1.319118e-001
6.193107199787320e-010	3.094362e-001	-1.121389e-001
6.203107199787320e-010	3.069185e-001	-9.232977e-002
6.213107199787320e-010	3.042002e-001	-7.247874e-002
6.223107199787319e-010	3.012557e-001	-5.258045e-002
6.233107199787319e-010	2.980560e-001	-3.262952e-002
6.243107199787319e-010	2.945675e-001	-1.262096e-002
6.253107199787319e-010	2.907517e-001	7.450193e-003
6.263107199787319e-010	2.865646e-001	2.758834e-002
6.273107199787319e-010	2.819564e-001	4.779774e-002
6.283107199787319e-010	2.768714e-001	6.808209e-002
6.293107199787319e-010	2.712478e-001	8.844426e-002
6.303107199787319e-010	2.650187e-001	1.088859e-001
6.313107199787319e-010	2.581133e-001	1.294061e-001
6.323107199787319e-010	2.504585e-001	1.499996e-001
6.333107199787319e-010	2.419816e-001	1.706516e-001
6.343107199787319e-010	2.326136e-001	1.913284e-001
6.353107199787319e-010	2.222860e-001	2.119394e-001
6.363107199787319e-010	2.109368e-001	2.322853e-001
6.373107199787319e-010	1.985287e-001	2.520216e-001
6.383107199787319e-010	1.850450e-001	2.705837e-001
